0: y0-s6, y2-s6, y4-s6, y6-s6, y8-s6, g0-s7, g2-s7, g1-s0, y1-s5, g4-s7, g3-s0, y3-s5, g6-s7, g5-s0, y5-s5, g8-s7, g7-s0, y7-s5, g9-s0, y9-s5, b0-s0, b1-s5, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, 
4194: g3-s2, g8-s2->s1, b0-s3, b7-s3, y8-s5, y0-s1->s2, b9-s3->s5, y7-s4->s2, y9-s6->s4, g1-s7->s2, g0-s1, g5-s1, b8-s1, y2-s1, g2-s1, b1-s1, b2-s1, y1-s1, g4-s1, g7-s1, y4-s1, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, 
4195: y7-s2, y8-s5, g0-s1->s0, y0-s1->s2, g8-s2->s1, b9-s3->s5, y9-s6->s4, g5-s1, b8-s1, y2-s1, b0-s3, g2-s1, b7-s3, b1-s1, b2-s1, y1-s1, g4-s1, g7-s1, y4-s1, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, g1-s7->s2, g3-s2->s7, 
4196: b9-s3->s5, y9-s6->s4, g1-s7->s2, b8-s1, y7-s2, b0-s3, g0-s1->s0, y0-s1->s2, g8-s2->s1, g3-s2->s7, y2-s1, b7-s3, g5-s1, g2-s1, b1-s1, b2-s1, y1-s1, g4-s1, g7-s1, y4-s1, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s5, 
4197: g1-s2, b7-s3, y8-s5, y0-s1->s2, y9-s6->s4, g5-s1, b8-s1, g8-s2->s1, g3-s2->s7, b9-s3->s5, y2-s1, g0-s1->s0, y7-s2, b0-s3, g2-s1, b1-s1, b2-s1, y1-s1, g4-s1, g7-s1, y4-s1, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, 
4198: g1-s2, b7-s3, y9-s4, y8-s5, y0-s1->s2, g8-s2->s1, g3-s2->s7, b9-s3->s5, g0-s0, b8-s1, g5-s1, y7-s2, b0-s3, y2-s1, g2-s1, b1-s1, b2-s1, y1-s1, g4-s1, g7-s1, y4-s1, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, 
4199: g8-s2->s1, b9-s3->s5, y8-s5->s1, g0-s0, y7-s2, b0-s3, g1-s2, y9-s4, b8-s1, g3-s2->s7, y2-s1, b7-s3, y0-s1->s2, g2-s1, g5-s1, b1-s1, b2-s1, y1-s1, g4-s1, g7-s1, y4-s1, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, 
4200: g3-s7, b8-s1->s0, y0-s1->s2, g8-s2->s1, b9-s3->s5, g0-s0, y2-s1, g5-s1, y7-s2, b0-s3, g2-s1, g1-s2, b1-s1, b2-s1, y1-s1, g4-s1, g7-s1, y4-s1, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y9-s4, y8-s5->s1, b7-s3->s1, 
4201: b0-s3->s5, g3-s7->s2, g0-s0, y2-s1, y9-s4, b9-s5, b8-s1->s0, y0-s1->s2, g8-s2->s1, b7-s3->s1, g2-s1, g5-s1, y7-s2, b1-s1, g1-s2, b2-s1, y1-s1, g4-s1, g7-s1, y4-s1, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, 
4202: y0-s2, y9-s4, b9-s5, b8-s1->s0, g8-s2->s1, b7-s3->s1, g0-s0, y7-s2, g1-s2, g3-s7->s2, b0-s3->s5, y2-s1, g5-s1->s2, g2-s1, b1-s1, b2-s1, y1-s1, g4-s1, g7-s1, y4-s1, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, 
4203: g3-s7->s2, g0-s0, b8-s0, g2-s1, y0-s2, y9-s4, b9-s5, g5-s1->s2, y7-s2->s1, b7-s3->s1, b0-s3->s5, b1-s1, y2-s1, g1-s2, b2-s1, y1-s1, g4-s1, g7-s1, y4-s1, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, 
4204: y0-s2->s4, g0-s0, y9-s4, b9-s5, g5-s1->s2, y7-s2->s1, b7-s3->s1, g3-s7->s2, b8-s0, g2-s1, y2-s1, g1-s2, b1-s1, b2-s1, y1-s1, g4-s1, g7-s1, y4-s1, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b0-s3->s5, 
4205: b9-s5, g5-s1->s2, y7-s2->s1, y0-s2->s4, b7-s3->s1, b0-s3->s5, y9-s4->s2, g0-s0, g2-s1, y2-s1, g1-s2, b8-s0, b1-s1, b2-s1, y1-s1, g4-s1, g7-s1, y4-s1, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, g3-s7->s2, 
4206: g2-s1->s0, g5-s1->s2, b0-s3->s5, y9-s4->s2, y2-s1, g0-s0, y7-s2->s1, y0-s2->s4, b8-s0, b1-s1, g3-s2, b9-s5, g1-s2, b2-s1, y1-s1, g4-s1, g7-s1, y4-s1, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, 
4207: g5-s1->s2, y7-s2->s1, y0-s2->s4, b8-s0, y2-s1, g1-s2, g3-s2, b0-s3->s5, b9-s5, y9-s4->s2, b1-s1, g0-s0->s1, g2-s1->s0, b2-s1, y1-s1, g4-s1, g7-s1, y4-s1, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, 
4208: y0-s4, b9-s5, g0-s0->s1, g5-s1->s2, y7-s2->s1, b0-s3->s5, b1-s1, b8-s0, y2-s1, g1-s2, b2-s1, g3-s2, y1-s1, g4-s1, g7-s1, y4-s1, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, y9-s4->s2, g2-s1->s0, 
4209: y7-s2->s1, b9-s5->s3, g2-s0, b1-s1, y9-s2, y0-s4, g0-s0->s1, g1-s2, b2-s1, b8-s0, g3-s2, y1-s1, g4-s1, g7-s1, y4-s1, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, b0-s3->s5, g5-s1->s2, y2-s1, 
4210: g2-s0, g5-s2, b0-s5, b8-s0->s1, y2-s1->s2, y7-s2->s1, g1-s2, b9-s5->s3, g3-s2, y9-s2, y0-s4, b2-s1, y1-s1, g4-s1, g7-s1, y4-s1, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, b1-s1->s0, 
4211: y0-s4, b1-s1->s0, y7-s2->s1, b9-s5->s3, y1-s1, g1-s2, g4-s1, g3-s2, g7-s1, y9-s2, y4-s1, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, b2-s1->s3, g2-s0, b0-s5, b8-s0->s1, y2-s1->s2, g5-s2->s7, 
4212: b9-s5->s3, g2-s0, y1-s1, y0-s4, b0-s5, b8-s0->s1, b1-s1->s0, y2-s1->s2, b2-s1->s3, g1-s2->s1, g5-s2->s7, g4-s1, g3-s2, g7-s1, y9-s2, y4-s1, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, 
4213: y0-s4, b0-s5, g1-s2->s1, g5-s2->s7, b9-s5->s3, g2-s0, g3-s2, b1-s0, y9-s2, y1-s1, g4-s1, y2-s1->s2, b2-s1->s3, g7-s1, y4-s1, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, 
4214: y2-s1->s2, b2-s1->s3, g1-s2->s1, g5-s2->s7, y0-s4->s6, b9-s5->s3, g2-s0, y1-s1, g3-s2, b0-s5, b1-s0, g4-s1, y9-s2, g7-s1, y4-s1, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, 
4215: g2-s0->s1, y2-s1->s2, y1-s1->s5, g1-s2->s1, g5-s2->s7, b9-s5->s3, g3-s2, b0-s5, y9-s2, b1-s0, y0-s4->s6, g4-s1, b2-s1->s3, g7-s1, y4-s1, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, 
4216: g5-s7, g2-s0->s1, y2-s1->s2, b2-s1->s3, y1-s1->s5, g1-s2->s1, y0-s4->s6, b9-s5->s3, b1-s0, g4-s1, g3-s2, b0-s5, g7-s1, y9-s2, y4-s1, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, 
4217: b2-s3, y1-s5, g5-s7->s2, g4-s1, g7-s1, y4-s1, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, b9-s5->s3, b0-s5, b1-s0, g2-s0->s1, y2-s1->s2, g1-s2->s1, y0-s4->s6, g3-s2, y9-s2, 
4218: y0-s4->s6, b9-s5->s3, g5-s7->s2, b1-s0, g7-s1, b2-s3, g4-s1->s0, g1-s2->s1, b0-s5, y4-s1, g3-s2, g9-s1, y9-s2, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, y2-s2, y1-s5, 
4219: y1-s5, y2-s2->s4, y0-s4->s6, g7-s1, y4-s1, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s2->s1, g3-s2, b0-s5->s3, y9-s2, b1-s0, b2-s3->s5, g5-s7->s2, b9-s3, g4-s1->s0, 
4220: g7-s1->s2, g3-s2->s1, y2-s2->s4, b2-s3->s5, y0-s4->s6, b0-s5->s3, g5-s7->s2, b1-s0, y4-s1, y1-s5, g4-s1->s0, y9-s2, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, b9-s3->s1, 
4221: y1-s5, g7-s1->s2, g3-s2->s1, y2-s2->s4, b9-s3->s1, b2-s3->s5, y0-s4->s6, b0-s5->s3, g5-s7->s2, b1-s0, y4-s1, y9-s2, g4-s0, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, 
4222: b1-s0->s1, g7-s1->s2, g3-s2->s1, y2-s2->s4, b9-s3->s1, b2-s3->s5, y0-s4->s6, y1-s5->s1, b0-s5->s3, g4-s0, y4-s1, y9-s2, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, g5-s2, 
4223: b9-s3->s1, y0-s4->s6, y1-s5->s1, g5-s2, g4-s0, b0-s5->s3, y4-s1, y2-s4, b1-s0->s1, g7-s1->s2, g3-s2->s1, b2-s3->s5, g9-s1, y9-s2, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, 
4224: y2-s4, y0-s6, b1-s0->s1, g7-s1->s2, g3-s2->s1, b9-s3->s1, b2-s3->s5, g4-s0, g9-s1, y4-s1, y9-s2, y3-s1, g5-s2, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b0-s5->s3, 
4225: y2-s4, g7-s1->s2, g3-s2->s1, b9-s3->s1, b0-s5->s3, y0-s6->s4, g4-s0, y4-s1, y9-s2, g5-s2, b2-s3->s5, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, 
4226: y2-s4, b0-s5->s3, y0-s6->s4, g3-s2->s1, y9-s2, g5-s2, g9-s1, y3-s1, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g4-s0, g7-s1->s2, b2-s3->s5, y4-s1, 
4227: g3-s2->s1, b2-s3->s5, y0-s6->s4, g4-s0, g7-s1->s2, y9-s2, y4-s1, g5-s2, g9-s1, y3-s1, y2-s4, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, b0-s5->s3, 
4228: g7-s2, b0-s3, y2-s4, b2-s5, y4-s1->s2, g3-s2->s1, y0-s6->s4, g4-s0, g9-s1, y9-s2, y3-s1, g5-s2, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, 
4229: g7-s2, b2-s5, y4-s1->s2, y9-s2->s1, g4-s0, y3-s1, g9-s1, g5-s2, b4-s1, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, y0-s6->s4, y2-s4, b0-s3, 
4230: y4-s1->s2, y9-s2->s1, g7-s2->s7, y2-s4->s6, y0-s6->s4, b0-s3, g9-s1, g5-s2, b2-s5, b4-s1, g4-s0->s1, y3-s1->s5, b3-s1, y6-s1, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, 
4231: g4-s0->s1, y0-s6->s4, b2-s5, b3-s1, y4-s1->s2, b4-s1->s3, y3-s1->s5, y9-s2->s1, b0-s3->s1, y2-s4->s6, y6-s1, g9-s1, g5-s2, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g7-s2->s7, 
4232: g4-s0->s1, b0-s3->s1, y2-s4->s6, b2-s5, y0-s6->s4, b3-s1, y3-s5, y4-s1->s2, b4-s1->s3, y9-s2->s1, g7-s2->s7, y6-s1, g9-s1, g5-s2, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, 
4233: b2-s5, b3-s1->s0, y4-s1->s2, b4-s1->s3, y9-s2->s1, g7-s2->s7, b0-s3->s1, y2-s4->s6, y0-s6->s4, y6-s1, y3-s5, g9-s1, g5-s2, g6-s1, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g4-s1, 
4234: b2-s5, b4-s1->s3, y9-s2->s1, g7-s2->s7, b0-s3->s1, y2-s4->s6, y0-s6->s4, y3-s5, g5-s2, y6-s1, g6-s1, b3-s1->s0, y4-s1->s2, b5-s1, g9-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g4-s1, 
4235: y0-s4, b3-s1->s0, y9-s2->s1, b0-s3->s1, g6-s1, g5-s2, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g4-s1, b2-s5, y3-s5, g7-s7, y4-s1->s2, b4-s1->s3, y2-s4->s6, g9-s1, y6-s1, 
4236: b4-s1->s3, y9-s2->s1, b0-s3->s1, y0-s4->s2, b2-s5->s3, b3-s0, g6-s1, y3-s5, y4-s1->s2, g5-s2, b5-s1, g9-s1, b6-s1, y6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g4-s1, g7-s7->s2, y2-s4->s6, 
4237: b2-s5->s3, b3-s0, y4-s2, b4-s3, y3-s5, y0-s4->s2, y2-s4->s6, g5-s2->s1, g7-s7->s2, g6-s1, g9-s1->s2, b5-s1, y6-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g4-s1, b0-s1, y9-s1, 
4238: g9-s1->s2, y4-s2->s4, y2-s4->s6, y6-s1, b2-s5->s3, b3-s0, g5-s2->s1, y0-s4->s2, g6-s1, b4-s3, y3-s5, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g4-s1, b0-s1, y9-s1, g7-s7->s2, 
4239: y3-s5, g6-s1->s0, g9-s1->s2, g5-s2->s1, y4-s2->s4, b4-s3->s5, y0-s4->s2, y2-s4->s6, b2-s5->s3, g7-s7->s2, b3-s0, b5-s1, y6-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g4-s1, b0-s1, y9-s1, 
4240: y0-s2, y2-s6, g9-s1->s2, g5-s2->s1, y4-s2->s4, b4-s3->s5, y3-s5->s1, b2-s5->s3, g7-s7->s2, b3-s0, b5-s1, y6-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g4-s1, b0-s1, y9-s1, g6-s1->s0, 
4241: y2-s6, g6-s1->s0, g9-s1->s2, g5-s2->s1, y4-s2->s4, b4-s3->s5, y3-s5->s1, b3-s0, b5-s1, y6-s1, y0-s2, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g4-s1, b0-s1, y9-s1, g7-s2, b2-s5->s3, 
4242: y2-s6->s4, b5-s1, b6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g4-s1, b0-s1, y9-s1, y3-s1, b3-s0, g7-s2, y4-s4, g9-s1->s2, g5-s2->s1, b4-s3->s5, b2-s5->s3, g6-s0, y6-s1, y0-s2, 
4243: b4-s3->s5, g5-s2->s1, y0-s2, g7-s2, y2-s6->s4, b3-s0, b2-s5->s3, g6-s0, b5-s1, y4-s4, g9-s1->s2, b6-s1, y6-s1, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g4-s1, b0-s1, y9-s1, y3-s1, 
4244: b5-s1->s0, g9-s1->s2, g5-s2->s1, b4-s3->s5, b2-s5->s3, y2-s6->s4, g6-s0, b6-s1, y6-s1, y0-s2, y5-s1, g7-s2, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g4-s1, b0-s1, y9-s1, y3-s1, y4-s4, b3-s0->s1, 
4245: g9-s2, b3-s0->s1, b5-s1->s0, y6-s1->s2, b6-s1->s3, g5-s2->s1, b4-s3->s5, y4-s4->s6, g6-s0, y0-s2, g7-s2, y2-s6->s4, y5-s1, b2-s3, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g4-s1, b0-s1, y9-s1, y3-s1, 
4246: g9-s2, b2-s3, b3-s0->s1, b5-s1->s0, y6-s1->s2, b6-s1->s3, y0-s2->s1, b4-s3->s5, y4-s4->s6, y2-s6->s4, g6-s0, g7-s2, y5-s1, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g4-s1, b0-s1, y9-s1, y3-s1, g5-s1, 
4247: y2-s6->s4, b2-s3, y8-s1, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g4-s1, b0-s1, y9-s1, y3-s1, g5-s1, b3-s1, g6-s0, y6-s1->s2, b6-s1->s3, y0-s2->s1, g9-s2->s7, y4-s4->s6, b5-s0, g7-s2, b4-s3->s5, y5-s1->s5, 
4248: b2-s3->s1, y6-s1->s2, y5-s1->s5, y2-s6->s4, g6-s0, y0-s2->s1, g9-s2->s7, y4-s4->s6, b5-s0, y8-s1, b4-s5, b6-s1->s3, g7-s2, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g4-s1, b0-s1, y9-s1, y3-s1, g5-s1, b3-s1, 
4249: b4-s5, g6-s0->s1, y6-s1->s2, b6-s1->s3, y0-s2->s1, g9-s2->s7, b2-s3->s1, y4-s4->s6, y2-s6->s4, b5-s0, y8-s1, y5-s5, g7-s2, g8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g4-s1, b0-s1, y9-s1, y3-s1, g5-s1, b3-s1, 
4250: b4-s5, b6-s1->s3, y0-s2->s1, g9-s2->s7, b2-s3->s1, y2-s6->s4, g8-s1, y5-s5, g7-s2, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g4-s1, b0-s1, y9-s1, y3-s1, g5-s1, b3-s1, g6-s0->s1, b5-s0, y6-s1->s2, y8-s1, y4-s4->s6, 
4251: y2-s6->s4, g8-s1, b6-s3, b4-s5, g6-s0->s1, y6-s1->s2, y0-s2->s1, g9-s2->s7, b2-s3->s1, y4-s4->s6, b7-s1, y5-s5, b5-s0, y8-s1, g7-s2, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g4-s1, b0-s1, y9-s1, y3-s1, g5-s1, b3-s1, 
4252: y6-s1->s2, g8-s1, y8-s1, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g4-s1, b0-s1, y9-s1, y3-s1, g5-s1, b3-s1, g6-s1, b4-s5, b6-s3, y2-s4, y5-s5, g9-s7, b5-s0->s1, y0-s2->s1, b2-s3->s1, y4-s4->s6, g7-s2, 
4253: b4-s5->s3, g9-s7->s2, y2-s4, b5-s0->s1, y0-s2->s1, g7-s2, y5-s5, b2-s3->s1, b6-s3->s5, y4-s4->s6, b7-s1, g8-s1->s0, y6-s1->s2, g0-s1, y8-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g4-s1, b0-s1, y9-s1, y3-s1, g5-s1, b3-s1, g6-s1, 
4254: b5-s0->s1, y4-s4->s6, b4-s5->s3, y5-s5, g9-s7->s2, b7-s1, y6-s2, g8-s1->s0, y8-s1->s2, b6-s3->s5, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g4-s1, b0-s1, y9-s1, y3-s1, g5-s1, b3-s1, g6-s1, b2-s1, y0-s1, g7-s2->s1, y2-s4, 
4255: y6-s2, y5-s5, g7-s2->s1, y2-s4->s2, b4-s5->s3, y4-s6, g9-s7->s2, b7-s1, g8-s1->s0, y8-s1->s2, b6-s3->s5, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g4-s1, b0-s1, y9-s1, y3-s1, g5-s1, b3-s1, g6-s1, b2-s1, y0-s1, b5-s1, 
4256: y5-s5, y8-s1->s2, g7-s2->s1, y6-s2->s4, b6-s3->s5, y2-s4->s2, b4-s5->s3, y4-s6->s4, g9-s7->s2, g8-s0, b7-s1, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g4-s1, b0-s1, y9-s1, y3-s1, g5-s1, b3-s1, g6-s1, b2-s1, y0-s1, b5-s1, 
4257: y8-s1->s2, y6-s2->s4, b6-s3->s5, y2-s4->s2, y4-s6->s4, g9-s7->s2, g8-s0, y5-s5, b7-s1, g7-s2->s1, b4-s5->s3, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g4-s1, b0-s1, y9-s1, y3-s1, g5-s1, b3-s1, g6-s1, b2-s1, y0-s1, b5-s1, 
4258: b4-s5->s3, g8-s0, y4-s6->s4, g0-s1, g9-s2, y5-s5, b7-s1->s0, y8-s1->s2, g7-s2->s1, y6-s2->s4, b6-s3->s5, y2-s4->s2, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g4-s1, b0-s1, y9-s1, y3-s1, g5-s1, b3-s1, g6-s1, b2-s1, y0-s1, b5-s1, 
4259: g8-s0, y5-s5, b7-s1->s0, g7-s2->s1, y6-s2->s4, b6-s3->s5, b4-s5->s3, y4-s6->s4, g0-s1, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g4-s1, b0-s1, y9-s1, y3-s1, g5-s1, b3-s1, g6-s1, b2-s1, y0-s1, b5-s1, y8-s1->s2, g9-s2, y2-s2, 
4260: g7-s2->s1, y5-s5->s1, g9-s2, b6-s3->s5, g8-s0, b4-s5->s3, y4-s6->s4, g0-s1, y2-s2, y6-s4, b7-s1->s0, y8-s1->s2, y7-s1, b8-s1, g2-s1, g1-s1, y1-s1, b1-s1, b9-s1, g3-s1, g4-s1, b0-s1, y9-s1, y3-s1, g5-s1, b3-s1, g6-s1, b2-s1, y0-s1, b5-s1, 
