0: g0-s1, y1-s2, b0-s0, g1-s3, y0-s3, b1-s3, 
617: b0-s2, y1-s3, g1-s1, b1-s2, g0-s3, y0-s1, 
618: y1-s3, b0-s2->s0, g0-s3, b1-s2, g1-s1, y0-s1, 
619: b1-s2, y1-s3, g1-s1->s0, b0-s2->s0, y0-s1, g0-s3, 
620: b0-s0, y1-s3->s1, g1-s0, y0-s1, b1-s2, g0-s3, 
621: y0-s1, b1-s2, y1-s1, b0-s0, g0-s3, g1-s0, 
622: y1-s1, b1-s2, g0-s3, y0-s1->s3, b0-s0, g1-s0, 
623: y1-s1, b0-s0, g0-s3, b1-s2->s3, g1-s0, y0-s3, 
624: b0-s0, g1-s0, y1-s1->s2, b1-s2->s3, y0-s3, g0-s3->s0, 
625: b0-s0, y1-s1->s2, g1-s0, y0-s3, b1-s3, g0-s3->s0, 
626: g1-s0, y1-s1->s2, b0-s0->s2, g0-s3->s0, y0-s3, b1-s3, 
627: y0-s3->s1, g1-s0, b1-s3, g0-s0, y1-s1->s2, b0-s0->s2, 
628: g1-s0, g0-s0, b0-s2, y1-s2, b1-s3, y0-s1, 
629: g1-s0, b0-s2, b1-s3, g0-s0, y1-s2, y0-s1, 
630: y0-s1, b0-s2, y1-s2, b1-s3, g1-s0, g0-s0, 
631: b0-s2, b1-s3->s2, g1-s0, y1-s2, g0-s0, y0-s1->s2, 
632: g1-s0, g0-s0, y0-s1->s2, b0-s2, b1-s3->s2, y1-s2, 
633: y0-s1->s2, g1-s0, g0-s0, b0-s2->s3, y1-s2, b1-s2, 
634: y0-s1->s2, g1-s0, g0-s0, b0-s2->s3, y1-s2, b1-s2, 
635: b0-s3, g1-s0->s3, g0-s0, y1-s2, b1-s2, y0-s2, 
636: b0-s3, y1-s2->s1, g0-s0, b1-s2, y0-s2, g1-s0->s3, 
637: g1-s0->s3, y1-s2->s1, b0-s3->s2, g0-s0, b1-s2, y0-s2, 
638: b0-s3->s2, g0-s0, b1-s2, y0-s2, g1-s3, y1-s2->s1, 
639: g0-s0, b1-s2, g1-s3, y1-s2->s1, y0-s2, b0-s2, 
640: g1-s3, g0-s0->s1, y1-s1, b1-s2, y0-s2, b0-s2, 
641: y1-s1->s3, b1-s2->s0, g1-s3->s0, g0-s1, y0-s2, b0-s2, 
642: y1-s3, g0-s1->s0, b1-s2->s0, g1-s3->s0, y0-s2, b0-s2, 
643: y1-s3, g1-s3->s0, b1-s0, y0-s2, g0-s0, b0-s2, 
644: y1-s3, b1-s0, y0-s2, g0-s0, b0-s2, g1-s0, 
645: b0-s2, y0-s2->s1, y1-s3->s1, b1-s0, g0-s0, g1-s0, 
646: y1-s1, b0-s2, y0-s2->s1, b1-s0, g0-s0, g1-s0, 
647: y1-s1, b0-s2, b1-s0, g0-s0, g1-s0, y0-s2->s1, 
648: b0-s2, b1-s0, y0-s2->s1, g0-s0, y1-s1, g1-s0, 
649: b0-s2, y1-s1->s2, b1-s0, g0-s0, g1-s0, y0-s1, 
650: y0-s1, y1-s1->s2, b0-s2->s0, b1-s0, g0-s0, g1-s0, 
651: y0-s1->s3, b1-s0, g0-s0, g1-s0, y1-s1->s2, b0-s2->s0, 
652: g0-s0, g1-s0, b0-s0, y1-s1->s2, y0-s3, b1-s0->s2, 
653: g0-s0->s3, g1-s0, y1-s2, b1-s0->s2, b0-s0, y0-s3, 
654: y1-s2, y0-s3, g0-s0->s3, g1-s0, b1-s2, b0-s0, 
655: y0-s3->s1, g1-s0, b0-s0, y1-s2, b1-s2, g0-s0->s3, 
656: y1-s2->s1, g1-s0, y0-s1, b1-s2, g0-s3, b0-s0, 
657: y0-s1, b1-s2, g0-s3, y1-s2->s1, g1-s0, b0-s0, 
658: y0-s1, b1-s2, y1-s2->s1, g1-s0, b0-s0, g0-s3->s0, 
659: b1-s2, y1-s2->s1, g1-s0, g0-s3->s0, b0-s0, y0-s1->s2, 
660: g1-s0, y1-s1, b0-s0, y0-s1->s2, b1-s2, g0-s3->s0, 
661: y0-s1->s2, y1-s1->s3, g1-s0, b1-s2, b0-s0, g0-s0, 
662: y1-s3, g1-s0->s1, y0-s1->s2, b1-s2->s3, b0-s0, g0-s0, 
663: g1-s1, y0-s2, b0-s0, g0-s0, y1-s3, b1-s2->s3, 
664: g1-s1, y1-s3, b0-s0->s2, g0-s0, b1-s3, y0-s2, 
665: b0-s0->s2, g1-s1, y1-s3, b1-s3, g0-s0, y0-s2, 
666: g0-s0, b1-s3, g1-s1->s0, y0-s2->s1, b0-s2, y1-s3->s1, 
667: b1-s3, y0-s2->s1, g0-s0, b0-s2, g1-s0, y1-s1, 
668: g0-s0, y1-s1, b0-s2, y0-s2->s1, b1-s3->s2, g1-s0, 
669: g0-s0, b1-s3->s2, g1-s0, b0-s2, y1-s1, y0-s2->s1, 
670: g0-s0, y0-s1, b0-s2, y1-s1->s2, g1-s0, b1-s2, 
671: y1-s1->s2, g0-s0, y0-s1, b0-s2, g1-s0, b1-s2, 
672: y1-s1->s2, y0-s1->s3, b0-s2->s3, b1-s2, g1-s0, g0-s0->s1, 
673: g1-s0, y1-s1->s2, b0-s2->s3, g0-s1, b1-s2, y0-s3, 
674: g0-s1->s0, b1-s2->s0, g1-s0, y1-s2, y0-s3, b0-s3, 
675: b1-s2->s0, g1-s0, y1-s2, y0-s3, g0-s0, b0-s3, 
676: y1-s2->s1, g1-s0, g0-s0, b1-s0, y0-s3, b0-s3, 
677: b0-s3, g1-s0, y1-s2->s1, y0-s3->s1, g0-s0, b1-s0, 
678: y0-s1, y1-s2->s1, g1-s0, g0-s0, b1-s0, b0-s3->s2, 
679: y0-s1, y1-s2->s1, g1-s0, g0-s0, b1-s0, b0-s3->s2, 
680: y0-s1, b0-s2, g1-s0->s3, y1-s1, g0-s0, b1-s0, 
681: b0-s2, g1-s0->s3, y0-s1->s2, g0-s0, b1-s0, y1-s1, 
682: y1-s1, b0-s2, g1-s0->s3, y0-s1->s2, b1-s0, g0-s0, 
683: b1-s0, y1-s1, g1-s0->s3, g0-s0, b0-s2, y0-s1->s2, 
684: y0-s1->s2, b0-s2, g1-s3, g0-s0->s3, b1-s0->s2, y1-s1->s3, 
685: b0-s2, g1-s3, b1-s0->s2, g0-s0->s3, y0-s2, y1-s3, 
686: g0-s0->s3, b0-s2->s0, g1-s3->s0, y0-s2, y1-s3, b1-s2, 
687: y1-s3, b0-s2->s0, g1-s3->s0, y0-s2, g0-s3, b1-s2, 
688: g1-s3->s0, b0-s0, y0-s2, b1-s2, y1-s3, g0-s3, 
689: b0-s0, b1-s2, g1-s0, y1-s3, g0-s3, y0-s2->s1, 
690: b1-s2, g0-s3, y1-s3->s1, y0-s2->s1, b0-s0, g1-s0, 
691: b0-s0, y1-s1, b1-s2, g0-s3, y0-s2->s1, g1-s0, 
692: b0-s0, g1-s0, b1-s2, y1-s1, y0-s2->s1, g0-s3->s0, 
693: g0-s3->s0, b0-s0, y0-s1, b1-s2, g1-s0, y1-s1->s2, 
694: y0-s1, g1-s0, b1-s2, b0-s0->s2, y1-s1->s2, g0-s3->s0, 
695: y0-s1, y1-s1->s2, g1-s0, b0-s0->s2, b1-s2->s3, g0-s0, 
696: b0-s2, y1-s1->s2, y0-s1->s3, b1-s2->s3, g1-s0, g0-s0, 
697: g1-s0, y1-s2, y0-s3, b1-s2->s3, g0-s0, b0-s2, 
698: g1-s0, y1-s2, y0-s3, b0-s2->s3, g0-s0, b1-s3, 
699: g1-s0, b0-s2->s3, g0-s0, y1-s2, y0-s3, b1-s3, 
700: g1-s0, g0-s0, y1-s2, y0-s3, b1-s3, b0-s3, 
701: g1-s0, y1-s2, b1-s3, g0-s0, b0-s3, y0-s3->s1, 
702: b1-s3->s2, g1-s0, y0-s1, g0-s0, y1-s2, b0-s3, 
703: b0-s3, g1-s0->s1, g0-s0, b1-s3->s2, y0-s1, y1-s2->s1, 
704: y0-s1->s2, g0-s0, y1-s2->s1, g1-s1, b1-s2, b0-s3, 
705: y0-s1->s2, y1-s2->s1, g0-s0, g1-s1, b1-s2, b0-s3, 
706: y0-s1->s2, y1-s2->s1, b0-s3->s2, g0-s0, b1-s2, g1-s1, 
707: y0-s1->s2, b1-s2, b0-s3->s2, g1-s1->s0, y1-s1, g0-s0, 
708: g0-s0, g1-s0, b1-s2, b0-s2, y1-s1->s3, y0-s2, 
709: y1-s3, b1-s2, b0-s2, y0-s2, g0-s0, g1-s0, 
710: b0-s2, b1-s2->s0, y0-s2, g0-s0, y1-s3, g1-s0, 
711: g0-s0->s1, g1-s0, b0-s2, y0-s2, y1-s3, b1-s2->s0, 
712: g1-s0, g0-s1, b0-s2, y1-s3, b1-s0, y0-s2, 
713: g1-s0, g0-s1->s0, y1-s3->s1, b1-s0, b0-s2, y0-s2, 
714: g1-s0, y0-s2, b1-s0, g0-s0, y1-s1, b0-s2->s0, 
715: g1-s0, y1-s1, b1-s0, g0-s0, y0-s2->s1, b0-s2->s0, 
716: y0-s2->s1, g1-s0, y1-s1->s2, b1-s0, g0-s0, b0-s0, 
717: y1-s1->s2, y0-s2->s1, g1-s0, b1-s0, g0-s0, b0-s0, 
718: y1-s1->s2, g1-s0, b1-s0, g0-s0, b0-s0, y0-s2->s1, 
719: y0-s1, y1-s1->s2, b1-s0, g0-s0, b0-s0, g1-s0->s3, 
720: y0-s1, y1-s2, g1-s0->s3, b1-s0, g0-s0, b0-s0, 
721: y0-s1, y1-s2, g1-s0->s3, b1-s0, g0-s0, b0-s0, 
722: b1-s0, g0-s0, b0-s0, y1-s2, g1-s3, y0-s1->s3, 
723: y1-s2, b1-s0, g0-s0, b0-s0, g1-s3, y0-s3, 
724: b1-s0, g1-s3, g0-s0, y0-s3, b0-s0, y1-s2, 
725: y1-s2, y0-s3, g1-s3->s0, b1-s0, g0-s0, b0-s0, 
726: b1-s0->s2, g1-s3->s0, g0-s0, b0-s0, y1-s2->s1, y0-s3->s1, 
727: y0-s1, b1-s0->s2, y1-s2->s1, g0-s0, b0-s0, g1-s3->s0, 
728: y0-s1, b1-s2, y1-s2->s1, g0-s0, b0-s0, g1-s0, 
729: y0-s1, b1-s2, y1-s2->s1, g0-s0, b0-s0, g1-s0, 
730: y1-s1, b1-s2, y0-s1->s2, g0-s0, b0-s0, g1-s0, 
731: y1-s1, b1-s2, y0-s1->s2, g0-s0, b0-s0, g1-s0, 
732: b1-s2, y0-s1->s2, y1-s1->s3, g0-s0, b0-s0, g1-s0, 
733: y1-s3, y0-s1->s2, b1-s2->s3, g0-s0, b0-s0, g1-s0, 
734: y0-s2, b0-s0, g1-s0, b1-s2->s3, y1-s3, g0-s0->s3, 
735: y0-s2, y1-s3, b1-s3, g0-s0->s3, b0-s0, g1-s0, 
736: y0-s2, y1-s3, g0-s0->s3, b0-s0, b1-s3, g1-s0, 
737: b0-s0, g1-s0, b1-s3, g0-s3, y0-s2->s1, y1-s3->s1, 
738: y1-s1, b1-s3, g0-s3, y0-s2->s1, g1-s0, b0-s0->s2, 
739: g1-s0, y1-s1, b1-s3, b0-s0->s2, g0-s3, y0-s2->s1, 
740: g1-s0, b1-s3->s2, y1-s1, b0-s2, g0-s3, y0-s2->s1, 
741: b1-s3->s2, g1-s0, b0-s2, g0-s3, y0-s1, y1-s1->s2, 
742: y1-s1->s2, b0-s2, b1-s2, g0-s3->s0, y0-s1->s3, g1-s0, 
743: g0-s3->s0, g1-s0, b0-s2, y0-s3, y1-s1->s2, b1-s2, 
744: y0-s3, y1-s1->s2, g0-s3->s0, g1-s0, b0-s2, b1-s2, 
745: y0-s3, g1-s0->s1, g0-s0, b0-s2, b1-s2, y1-s2, 
746: b0-s2->s3, g0-s0, g1-s1, b1-s2, y0-s3, y1-s2, 
747: g1-s1->s0, g0-s0, b0-s2->s3, y0-s3->s1, b1-s2, y1-s2, 
748: y0-s1, b1-s2, y1-s2, g0-s0, b0-s3, g1-s0, 
749: g0-s0, b0-s3, g1-s0, b1-s2, y1-s2, y0-s1, 
750: b0-s3, y0-s1->s2, b1-s2->s0, g0-s0, y1-s2, g1-s0, 
751: g0-s0->s1, g1-s0, y0-s1->s2, y1-s2, b1-s2->s0, b0-s3->s2, 
752: y0-s1->s2, g0-s1, y1-s2, b0-s3->s2, g1-s0, b1-s0, 
753: y1-s2, g0-s1->s0, y0-s1->s2, g1-s0, b0-s2, b1-s0, 
754: y1-s2, g1-s0, b0-s2, b1-s0, y0-s2, g0-s0, 
755: b0-s2, y1-s2->s1, g1-s0, y0-s2, b1-s0, g0-s0, 
756: b0-s2, g1-s0, y0-s2, b1-s0, g0-s0, y1-s2->s1, 
757: y0-s2, b0-s2->s0, y1-s2->s1, g1-s0, b1-s0, g0-s0, 
758: y0-s2, g1-s0->s3, b0-s2->s0, y1-s2->s1, b1-s0, g0-s0, 
759: g1-s0->s3, y1-s2->s1, b1-s0, y0-s2, g0-s0, b0-s0, 
760: g1-s0->s3, y0-s2->s1, b1-s0, g0-s0, b0-s0, y1-s1, 
761: y1-s1, b1-s0, g1-s3, y0-s2->s1, g0-s0, b0-s0, 
762: g1-s3, b1-s0->s2, y1-s1->s3, y0-s2->s1, g0-s0, b0-s0, 
763: g1-s3, y1-s3, g0-s0, b1-s0->s2, y0-s2->s1, b0-s0, 
764: y0-s1, b1-s2, y1-s3, g0-s0, b0-s0, g1-s3->s0, 
765: y0-s1, g1-s3->s0, y1-s3->s1, g0-s0, b0-s0, b1-s2, 
766: y1-s1, b1-s2, y0-s1->s3, g1-s3->s0, g0-s0, b0-s0, 
767: b1-s2, g0-s0, b0-s0, g1-s0, y0-s3, y1-s1, 
768: y0-s3->s1, g0-s0, b0-s0, y1-s1->s2, b1-s2->s3, g1-s0, 
769: y0-s1, y1-s1->s2, g0-s0, b0-s0, g1-s0, b1-s2->s3, 
770: y1-s1->s2, g0-s0, b0-s0, g1-s0, b1-s3, y0-s1, 
771: b1-s3, g0-s0->s3, y1-s1->s2, b0-s0, y0-s1, g1-s0, 
772: b0-s0, b1-s3, g0-s0->s3, y1-s1->s2, g1-s0, y0-s1, 
773: y1-s2, y0-s1->s2, b1-s3->s2, g0-s0->s3, b0-s0, g1-s0, 
774: y1-s2, g0-s3, y0-s1->s2, b1-s3->s2, b0-s0, g1-s0, 
775: y1-s2, g0-s3, y0-s1->s2, b0-s0, b1-s2, g1-s0, 
776: g0-s3, b0-s0->s2, g1-s0, y0-s1->s2, y1-s2, b1-s2, 
777: g0-s3, b0-s0->s2, g1-s0, y1-s2, b1-s2, y0-s2, 
778: g0-s3->s0, y1-s2, b1-s2, y0-s2, b0-s2, g1-s0, 
779: b1-s2, y0-s2, b0-s2, g1-s0, y1-s2->s1, g0-s3->s0, 
780: g1-s0, y1-s2->s1, g0-s3->s0, b1-s2, y0-s2, b0-s2, 
781: g1-s0, b1-s2, g0-s0, y0-s2, b0-s2, y1-s2->s1, 
782: y1-s2->s1, g1-s0, b1-s2, g0-s0, y0-s2, b0-s2, 
783: g1-s0, y1-s1, b1-s2, g0-s0, y0-s2, b0-s2, 
784: g1-s0, g0-s0, y1-s1, b1-s2, y0-s2, b0-s2, 
785: g1-s0->s1, b1-s2->s0, y0-s2, b0-s2, y1-s1, g0-s0, 
786: y1-s1->s3, b1-s2->s0, g0-s0, g1-s1, y0-s2, b0-s2, 
787: y1-s3, g0-s0->s1, g1-s1, b1-s0, y0-s2, b0-s2, 
788: y1-s3, b1-s0, g1-s1, b0-s2, g0-s1, y0-s2->s1, 
789: b0-s2, y1-s3, g1-s1->s0, y0-s2->s1, b1-s0, g0-s1, 
790: b0-s2, y1-s3, b1-s0->s2, y0-s2->s1, g1-s0, g0-s1, 
791: b0-s2, b1-s0->s2, g0-s1->s0, y0-s2->s1, y1-s3->s1, g1-s0, 
792: y1-s1, b0-s2, g1-s0, y0-s1, b1-s2, g0-s0, 
793: b0-s2, b1-s2, y0-s1, g1-s0, g0-s0, y1-s1->s2, 
794: y0-s1, b1-s2, y1-s1->s2, g1-s0, g0-s0, b0-s2->s3, 
795: y0-s1, b1-s2, b0-s2->s3, g1-s0, g0-s0, y1-s1->s2, 
796: y1-s1->s2, b0-s2->s3, b1-s2, g1-s0, g0-s0, y0-s1->s3, 
797: b0-s3, b1-s2->s3, g1-s0, y0-s3, g0-s0, y1-s2, 
798: y1-s2->s1, b1-s2->s3, g1-s0, g0-s0, b0-s3, y0-s3, 
799: g1-s0->s3, y1-s2->s1, b0-s3->s2, g0-s0, y0-s3, b1-s3, 
800: g1-s0->s3, y1-s2->s1, g0-s0, y0-s3, b1-s3, b0-s3->s2, 
801: g1-s0->s3, y1-s2->s1, g0-s0, b0-s2, y0-s3, b1-s3, 
802: g0-s0, y1-s1, b0-s2, y0-s3, b1-s3, g1-s3, 
803: y1-s1, y0-s3->s1, b0-s2, b1-s3, g0-s0->s3, g1-s3, 
804: b1-s3->s2, g0-s0->s3, y1-s1->s3, b0-s2->s0, y0-s1, g1-s3, 
805: g0-s0->s3, b0-s2->s0, b1-s3->s2, y0-s1, y1-s3, g1-s3->s0, 
806: b0-s0, y0-s1, b1-s2, y1-s3, g1-s3->s0, g0-s3, 
807: y0-s1->s2, b1-s2->s0, b0-s0, g0-s3, y1-s3->s1, g1-s3->s0, 
808: y0-s1->s2, b0-s0, b1-s2->s0, g1-s3->s0, y1-s1, g0-s3, 
809: b0-s0, y1-s1, y0-s1->s2, g0-s3->s0, b1-s0, g1-s0, 
810: g0-s3->s0, b0-s0, b1-s0, g1-s0, y0-s1->s2, y1-s1, 
811: y0-s1->s2, g0-s3->s0, b0-s0, y1-s1, b1-s0, g1-s0, 
812: y1-s1->s2, b0-s0, b1-s0, g1-s0, g0-s0, y0-s2, 
813: y0-s2, y1-s1->s2, b0-s0, b1-s0, g1-s0, g0-s0, 
814: y0-s2, y1-s1->s2, b0-s0, b1-s0, g1-s0, g0-s0, 
815: y1-s1->s2, y0-s2->s1, b0-s0->s2, b1-s0, g1-s0, g0-s0, 
816: b0-s0->s2, b1-s0, g1-s0, y0-s2->s1, g0-s0, y1-s2, 
817: b0-s0->s2, g1-s0, b1-s0, g0-s0, y1-s2, y0-s2->s1, 
818: g1-s0, y1-s2, b1-s0->s2, y0-s2->s1, g0-s0, b0-s2, 
819: g1-s0, b1-s0->s2, y0-s2->s1, g0-s0, b0-s2, y1-s2, 
820: g1-s0, g0-s0, y0-s1, b0-s2, y1-s2->s1, b1-s2, 
821: g1-s0, g0-s0, b0-s2, b1-s2, y0-s1->s3, y1-s2->s1, 
822: g1-s0, b1-s2, g0-s0, b0-s2->s3, y0-s3, y1-s2->s1, 
823: g1-s0, b0-s2->s3, g0-s0, b1-s2, y0-s3, y1-s2->s1, 
824: y0-s3->s1, g1-s0, y1-s1, b1-s2, b0-s3, g0-s0, 
825: g0-s0, y0-s1, b0-s3, g1-s0->s1, y1-s1->s3, b1-s2->s3, 
826: b1-s2->s3, g0-s0, b0-s3->s2, y0-s1, y1-s3, g1-s1, 
827: y1-s3, g0-s0, y0-s1, b1-s3, g1-s1, b0-s3->s2, 
828: b0-s2, y1-s3->s1, g1-s1, g0-s0, b1-s3, y0-s1->s2, 
829: g0-s0, g1-s1, b0-s2, b1-s3, y0-s1->s2, y1-s1, 
830: g0-s0, y0-s1->s2, g1-s1, b0-s2, y1-s1, b1-s3->s2, 
831: b0-s2, g1-s1->s0, y0-s1->s2, b1-s3->s2, g0-s0, y1-s1, 
832: b0-s2, b1-s2, y0-s2, y1-s1, g0-s0, g1-s0, 
833: y1-s1->s2, b1-s2, b0-s2->s0, y0-s2, g0-s0, g1-s0, 
834: b1-s2, g0-s0->s1, y1-s1->s2, b0-s2->s0, y0-s2, g1-s0, 
835: y1-s1->s2, g1-s0, g0-s1, b1-s2, b0-s0, y0-s2, 
836: y1-s1->s2, b1-s2, y0-s2, g1-s0, b0-s0, g0-s1, 
837: b1-s2, y0-s2, y1-s2, g1-s0, b0-s0, g0-s1, 
838: g0-s1->s0, g1-s0, b1-s2->s0, b0-s0, y0-s2, y1-s2, 
839: y0-s2, y1-s2, g1-s0, b0-s0, g0-s0, b1-s2->s0, 
840: b0-s0, y0-s2, g1-s0->s3, g0-s0, y1-s2, b1-s0, 
841: b0-s0->s2, y0-s2->s1, g0-s0, b1-s0, y1-s2, g1-s0->s3, 
842: y0-s2->s1, g0-s0, y1-s2, g1-s0->s3, b1-s0, b0-s0->s2, 
843: b0-s2, g0-s0, b1-s0, g1-s3, y0-s2->s1, y1-s2, 
844: g0-s0, b0-s2, g1-s3, y0-s2->s1, b1-s0, y1-s2, 
845: g0-s0, b0-s2, g1-s3, y0-s2->s1, b1-s0, y1-s2, 
846: g0-s0, g1-s3, b1-s0, y0-s1, b0-s2, y1-s2->s1, 
847: b0-s2, g1-s3->s0, y0-s1, y1-s2->s1, g0-s0, b1-s0, 
848: g0-s0, y0-s1->s3, y1-s2->s1, b0-s2->s3, g1-s3->s0, b1-s0, 
849: y1-s2->s1, b0-s2->s3, g0-s0, g1-s3->s0, b1-s0, y0-s3, 
850: b1-s0, g1-s0, y1-s1, y0-s3, b0-s3, g0-s0->s3, 
851: y1-s1->s3, b1-s0, y0-s3, g0-s0->s3, g1-s0, b0-s3, 
852: y0-s3->s1, b0-s3, y1-s3, b1-s0, g1-s0, g0-s0->s3, 
853: y0-s1, b0-s3, b1-s0, y1-s3, g1-s0, g0-s3, 
854: b0-s3->s2, b1-s0, g1-s0, y0-s1, y1-s3, g0-s3, 
855: b1-s0, b0-s3->s2, g1-s0, y0-s1, g0-s3, y1-s3->s1, 
856: y0-s1->s2, g0-s3, b0-s2, b1-s0, g1-s0, y1-s1, 
857: b0-s2, y0-s1->s2, g1-s0, y1-s1, g0-s3, b1-s0->s2, 
858: g1-s0, y0-s1->s2, b1-s0->s2, y1-s1, b0-s2, g0-s3, 
859: y0-s1->s2, g0-s3->s0, g1-s0, b0-s2, y1-s1, b1-s2, 
860: y0-s1->s2, b0-s2->s0, g0-s3->s0, g1-s0, b1-s2, y1-s1, 
861: b0-s2->s0, g0-s3->s0, b1-s2, g1-s0->s1, y1-s1->s2, y0-s2, 
862: b0-s0, g1-s1, g0-s0, y1-s1->s2, b1-s2, y0-s2, 
863: y1-s1->s2, b0-s0, g1-s1, b1-s2, g0-s0, y0-s2, 
864: y1-s1->s2, b0-s0, g1-s1, b1-s2, g0-s0, y0-s2, 
865: b0-s0, b1-s2, g0-s0, y0-s2, y1-s2, g1-s1->s0, 
866: b0-s0, b1-s2->s3, g0-s0, y0-s2, g1-s0, y1-s2, 
867: b1-s2->s3, y0-s2, y1-s2, b0-s0, g0-s0, g1-s0, 
868: y0-s2, b1-s3, y1-s2, b0-s0, g0-s0, g1-s0, 
869: y0-s2, b1-s3, y1-s2, b0-s0, g0-s0, g1-s0, 
870: y0-s2, b0-s0, y1-s2, g0-s0, g1-s0, b1-s3, 
871: y1-s2, g0-s0, b0-s0->s2, y0-s2->s1, b1-s3->s2, g1-s0, 
872: y1-s2, g0-s0, b0-s0->s2, y0-s2->s1, b1-s3->s2, g1-s0, 
873: g0-s0, g1-s0, b0-s2, b1-s2, y0-s2->s1, y1-s2, 
874: g0-s0, y0-s2->s1, g1-s0, y1-s2, b0-s2, b1-s2, 
875: b1-s2, y0-s2->s1, y1-s2, b0-s2->s3, g0-s0, g1-s0, 
876: y0-s1, b1-s2, y1-s2->s1, b0-s2->s3, g0-s0, g1-s0, 
877: g1-s0, y0-s1, b1-s2, b0-s3, g0-s0->s1, y1-s2->s1, 
878: g1-s0, y0-s1, b1-s2, b0-s3, y1-s2->s1, g0-s1, 
879: b1-s2, b0-s3, y0-s1->s3, g0-s1, g1-s0, y1-s2->s1, 
880: g1-s0, g0-s1, b0-s3, b1-s2->s0, y1-s1, y0-s3, 
881: b1-s2->s0, y1-s1, y0-s3, g1-s0, g0-s1->s0, b0-s3->s2, 
882: y1-s1, y0-s3, g1-s0, b1-s0, g0-s0, b0-s3->s2, 
883: g1-s0, b0-s2, y0-s3, y1-s1->s3, b1-s0, g0-s0, 
884: b0-s2, y1-s3, g1-s0->s3, y0-s3->s1, b1-s0, g0-s0, 
885: b1-s0, y0-s1, b0-s2, y1-s3, g1-s0->s3, g0-s0, 
886: y0-s1, b0-s2, b1-s0->s2, g0-s0, y1-s3->s1, g1-s0->s3, 
887: b0-s2, b1-s0->s2, g0-s0, g1-s3, y0-s1, y1-s1, 
888: y1-s1, y0-s1->s2, b0-s2, g0-s0->s3, g1-s3->s0, b1-s2, 
889: g1-s3->s0, y1-s1, b1-s2, y0-s1->s2, g0-s0->s3, b0-s2->s0, 
890: g1-s3->s0, y1-s1, b1-s2, g0-s0->s3, y0-s1->s2, b0-s2->s0, 
891: b0-s0, b1-s2, g0-s3, g1-s0, y0-s1->s2, y1-s1, 
892: b0-s0, b1-s2, g0-s3, y0-s1->s2, g1-s0, y1-s1, 
893: b0-s0, g0-s3, y1-s1->s2, g1-s0, b1-s2->s3, y0-s2, 
894: g0-s3, y1-s1->s2, b1-s2->s3, b0-s0, y0-s2, g1-s0, 
895: y1-s1->s2, g0-s3->s0, b0-s0, g1-s0, y0-s2, b1-s3, 
896: y1-s1->s2, y0-s2, b1-s3, b0-s0, g1-s0, g0-s3->s0, 
897: b1-s3, b0-s0->s2, g1-s0, y0-s2, y1-s2, g0-s3->s0, 
898: b1-s3, b0-s0->s2, g1-s0, y0-s2->s1, g0-s0, y1-s2, 
899: y0-s2->s1, b1-s3->s2, g1-s0, y1-s2, g0-s0, b0-s2, 
900: y0-s2->s1, b1-s3->s2, g1-s0, y1-s2, g0-s0, b0-s2, 
901: y0-s2->s1, y1-s2, g1-s0, g0-s0, b0-s2, b1-s2, 
902: g1-s0, g0-s0, y0-s2->s1, y1-s2, b0-s2, b1-s2, 
903: y1-s2->s1, g1-s0, y0-s1, b1-s2, g0-s0, b0-s2->s3, 
904: b1-s2, g1-s0, g0-s0, b0-s2->s3, y0-s1, y1-s2->s1, 
905: y0-s1->s3, g1-s0, g0-s0, b1-s2, b0-s3, y1-s2->s1, 
906: g1-s0->s1, g0-s0, b0-s3, y0-s3, y1-s2->s1, b1-s2, 
907: b1-s2, b0-s3, y0-s3, g1-s1, y1-s1, g0-s0, 
908: g0-s0, b0-s3->s2, b1-s2, y0-s3, g1-s1->s0, y1-s1, 
909: y0-s3, b0-s3->s2, b1-s2->s0, y1-s1, g0-s0, g1-s0, 
910: b0-s2, y0-s3, b1-s2->s0, g0-s0, g1-s0, y1-s1, 
911: y1-s1->s3, g0-s0, g1-s0, b1-s0, y0-s3, b0-s2, 
912: b0-s2, y0-s3->s1, g0-s0, y1-s3, g1-s0, b1-s0, 
913: b0-s2, y1-s3, g0-s0, g1-s0, b1-s0, y0-s1, 
914: y0-s1, b0-s2->s0, y1-s3->s1, g0-s0, g1-s0, b1-s0, 
915: y0-s1, g0-s0->s1, b0-s2->s0, g1-s0, y1-s1, b1-s0, 
916: g1-s0, b1-s0, b0-s0, y0-s1->s2, y1-s1, g0-s1, 
917: y0-s1->s2, y1-s1, g0-s1, g1-s0, b1-s0, b0-s0, 
918: y1-s1, y0-s1->s2, g1-s0, g0-s1, b1-s0, b0-s0, 
919: g0-s1, y0-s1->s2, g1-s0, y1-s1, b1-s0, b0-s0, 
920: g0-s1, g1-s0->s3, y0-s1->s2, b1-s0, y1-s1, b0-s0, 
921: b1-s0, y0-s2, g1-s0->s3, g0-s1->s0, y1-s1->s2, b0-s0, 
922: y1-s1->s2, b1-s0, b0-s0, g0-s0, y0-s2, g1-s0->s3, 
923: b1-s0, y0-s2, g1-s3, b0-s0, g0-s0, y1-s1->s2, 
924: y1-s1->s2, y0-s2, b1-s0, b0-s0, g0-s0, g1-s3->s0, 
925: y0-s2, g1-s3->s0, b1-s0, y1-s2, b0-s0, g0-s0, 
