0: g0-s0, g1-s7, y0-s5, y1-s6, b0-s0, b1-s5, 
1: g0-s0, g1-s7->s2, g2-s0, g3-s7, y0-s5, y1-s6, y2-s5, y3-s6, b0-s0, b1-s5, b2-s0, b3-s5, 
2: g0-s0, g1-s7->s2, g2-s0, g3-s7, g4-s0, g5-s7, y0-s5->s1, y1-s6, y2-s5, y3-s6, y4-s5, y5-s6, b0-s0, b1-s5, b2-s0, b3-s5, b4-s0, b5-s5, 
3: g0-s0, g1-s7->s2, g2-s0, g3-s7, g4-s0, g5-s7, g6-s0, g7-s7, y0-s5->s1, y1-s6, y2-s5, y3-s6, y4-s5, y5-s6, y6-s5, y7-s6, b0-s0, b1-s5, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, 
4: g0-s0->s1, g1-s7->s2, g2-s0, g3-s7, g4-s0, g5-s7, g6-s0, g7-s7, g8-s0, g9-s7, y0-s1, y1-s6->s4, y2-s5, y3-s6, y4-s5, y5-s6, y6-s5, y7-s6, y8-s5, y9-s6, b0-s0, b1-s5->s3, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, 
5: g0-s0->s1, g1-s7->s2, g2-s0, g3-s7, g4-s0, g5-s7, g6-s0, g7-s7, g8-s0, g9-s7, g10-s0, g11-s7, y0-s1, y1-s6->s4, y2-s5, y3-s6, y4-s5, y5-s6, y6-s5, y7-s6, y8-s5, y9-s6, y10-s5, y11-s6, b0-s0, b1-s5->s3, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, b10-s0, b11-s5, 
6: g0-s0->s1, g1-s2, g2-s0, g3-s7->s2, g4-s0, g5-s7, g6-s0, g7-s7, g8-s0, g9-s7, g10-s0, g11-s7, g12-s0, g13-s7, y0-s1, y1-s6->s4, y2-s5, y3-s6, y4-s5, y5-s6, y6-s5, y7-s6, y8-s5, y9-s6, y10-s5, y11-s6, y12-s5, y13-s6, b0-s0, b1-s5->s3, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, b10-s0, b11-s5, b12-s0, b13-s5, 
7: g0-s1, g1-s2, g2-s0, g3-s7->s2, g4-s0, g5-s7, g6-s0, g7-s7, g8-s0, g9-s7, g10-s0, g11-s7, g12-s0, g13-s7, g14-s0, g15-s7, y0-s1->s2, y1-s6->s4, y2-s5, y3-s6, y4-s5, y5-s6, y6-s5, y7-s6, y8-s5, y9-s6, y10-s5, y11-s6, y12-s5, y13-s6, y14-s5, y15-s6, b0-s0, b1-s5->s3, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, b10-s0, b11-s5, b12-s0, b13-s5, b14-s0, b15-s5, 
8: g0-s1, g1-s2->s1, g2-s0, g3-s7->s2, g4-s0, g5-s7, g6-s0, g7-s7, g8-s0, g9-s7, g10-s0, g11-s7, g12-s0, g13-s7, g14-s0, g15-s7, g16-s0, g17-s7, y0-s1->s2, y1-s6->s4, y2-s5, y3-s6, y4-s5, y5-s6, y6-s5, y7-s6, y8-s5, y9-s6, y10-s5, y11-s6, y12-s5, y13-s6, y14-s5, y15-s6, y16-s5, y17-s6, b0-s0, b1-s5->s3, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, b10-s0, b11-s5, b12-s0, b13-s5, b14-s0, b15-s5, b16-s0, b17-s5, 
9: g0-s1, g1-s2->s1, g2-s0, g3-s7->s2, g4-s0, g5-s7, g6-s0, g7-s7, g8-s0, g9-s7, g10-s0, g11-s7, g12-s0, g13-s7, g14-s0, g15-s7, g16-s0, g17-s7, g18-s0, g19-s7, y0-s1->s2, y1-s6->s4, y2-s5->s1, y3-s6, y4-s5, y5-s6, y6-s5, y7-s6, y8-s5, y9-s6, y10-s5, y11-s6, y12-s5, y13-s6, y14-s5, y15-s6, y16-s5, y17-s6, y18-s5, y19-s6, b0-s0, b1-s5->s3, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, b10-s0, b11-s5, b12-s0, b13-s5, b14-s0, b15-s5, b16-s0, b17-s5, b18-s0, b19-s5, 
411: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s0, g8-s7->s2, g9-s0, g10-s1->s2, g11-s0, g12-s1, g13-s2->s1, g14-s1, g15-s2, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s6->s4, y5-s1, y6-s4->s6, y7-s5, y8-s2->s4, y9-s2, y10-s1, y11-s2, y12-s1, y13-s2, y14-s1, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s1->s0, b2-s3, b3-s3, b4-s3, b5-s5->s3, b6-s3, b7-s5, b8-s1, b9-s5, b10-s1, b11-s5, b12-s0->s1, b13-s3->s5, b14-s0, b15-s3, b16-s0, b17-s3, b18-s0, b19-s3, 
412: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s0, g8-s2, g9-s0, g10-s1->s2, g11-s0, g12-s1, g13-s2->s1, g14-s1, g15-s2, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s6->s4, y5-s1, y6-s4->s6, y7-s5, y8-s4, y9-s2, y10-s1, y11-s2, y12-s1, y13-s2, y14-s1, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s1->s0, b2-s3, b3-s3->s1, b4-s3, b5-s5->s3, b6-s3, b7-s5, b8-s1, b9-s5, b10-s1, b11-s5, b12-s0->s1, b13-s3->s5, b14-s0, b15-s3, b16-s0, b17-s3, b18-s0, b19-s3, 
413: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s0, g8-s2, g9-s0, g10-s1->s2, g11-s0, g12-s1, g13-s2->s1, g14-s1, g15-s2, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s6->s4, y5-s1, y6-s4->s6, y7-s5, y8-s4, y9-s2, y10-s1, y11-s2, y12-s1, y13-s2, y14-s1, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s1->s0, b2-s3, b3-s3->s1, b4-s3, b5-s5->s3, b6-s3, b7-s5, b8-s1, b9-s5, b10-s1, b11-s5, b12-s1, b13-s3->s5, b14-s0, b15-s3, b16-s0, b17-s3, b18-s0, b19-s3, 
414: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s0, g8-s2, g9-s0, g10-s1->s2, g11-s0, g12-s1, g13-s2->s1, g14-s1, g15-s2, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s6->s4, y5-s1, y6-s4->s6, y7-s5, y8-s4, y9-s2, y10-s1, y11-s2, y12-s1, y13-s2, y14-s1, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s0, b2-s3, b3-s3->s1, b4-s3, b5-s5->s3, b6-s3, b7-s5, b8-s1, b9-s5, b10-s1, b11-s5, b12-s1, b13-s3->s5, b14-s0, b15-s3, b16-s0, b17-s3, b18-s0, b19-s3, 
415: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s0, g8-s2, g9-s0, g10-s2, g11-s0, g12-s1, g13-s2->s1, g14-s1, g15-s2, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s6->s4, y5-s1, y6-s4->s6, y7-s5, y8-s4, y9-s2, y10-s1->s2, y11-s2, y12-s1, y13-s2, y14-s1, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s0, b2-s3, b3-s3->s1, b4-s3, b5-s5->s3, b6-s3, b7-s5, b8-s1->s3, b9-s5, b10-s1, b11-s5, b12-s1, b13-s3->s5, b14-s0->s1, b15-s3, b16-s0, b17-s3, b18-s0, b19-s3, 
416: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s0, g8-s2, g9-s0, g10-s2->s7, g11-s0, g12-s1, g13-s1, g14-s1, g15-s2, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s6->s4, y5-s1, y6-s6, y7-s5, y8-s4, y9-s2->s1, y10-s1->s2, y11-s2, y12-s1, y13-s2, y14-s1, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s0, b2-s3, b3-s3->s1, b4-s3, b5-s5->s3, b6-s3, b7-s5, b8-s1->s3, b9-s5, b10-s1, b11-s5, b12-s1, b13-s3->s5, b14-s0->s1, b15-s3, b16-s0, b17-s3, b18-s0, b19-s3, 
417: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s0, g8-s2, g9-s0, g10-s2->s7, g11-s0, g12-s1, g13-s1, g14-s1, g15-s2, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s6->s4, y5-s1, y6-s6, y7-s5, y8-s4, y9-s2->s1, y10-s1->s2, y11-s2, y12-s1, y13-s2, y14-s1, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s0, b2-s3, b3-s3->s1, b4-s3, b5-s5->s3, b6-s3, b7-s5, b8-s1->s3, b9-s5, b10-s1, b11-s5, b12-s1, b13-s3->s5, b14-s0->s1, b15-s3, b16-s0, b17-s3, b18-s0, b19-s3, 
418: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s0, g8-s2, g9-s0, g10-s2->s7, g11-s0, g12-s1, g13-s1->s0, g14-s1, g15-s2, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s6->s4, y5-s1, y6-s6, y7-s5, y8-s4->s6, y9-s2->s1, y10-s1->s2, y11-s2, y12-s1, y13-s2, y14-s1, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s0, b2-s3, b3-s1, b4-s3, b5-s5->s3, b6-s3, b7-s5, b8-s1->s3, b9-s5, b10-s1, b11-s5, b12-s1, b13-s5, b14-s1, b15-s3->s5, b16-s0, b17-s3, b18-s0, b19-s3, 
419: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s0, g8-s2, g9-s0, g10-s2->s7, g11-s0, g12-s1, g13-s1->s0, g14-s1, g15-s2, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s6->s4, y5-s1, y6-s6, y7-s5, y8-s4->s6, y9-s2->s1, y10-s1->s2, y11-s2, y12-s1, y13-s2, y14-s1, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s0, b2-s3, b3-s1, b4-s3, b5-s3, b6-s3, b7-s5->s3, b8-s1->s3, b9-s5, b10-s1, b11-s5, b12-s1, b13-s5, b14-s1, b15-s3->s5, b16-s0, b17-s3, b18-s0, b19-s3, 
420: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s0, g8-s2, g9-s0, g10-s2->s7, g11-s0, g12-s1, g13-s1->s0, g14-s1, g15-s2, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s4, y5-s1, y6-s6, y7-s5, y8-s4->s6, y9-s2->s1, y10-s1->s2, y11-s2, y12-s1, y13-s2, y14-s1, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s0, b2-s3, b3-s1, b4-s3, b5-s3, b6-s3, b7-s5->s3, b8-s1->s3, b9-s5, b10-s1, b11-s5, b12-s1, b13-s5, b14-s1, b15-s3->s5, b16-s0, b17-s3, b18-s0, b19-s3, 
421: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s0, g8-s2, g9-s0, g10-s7, g11-s0, g12-s1, g13-s0, g14-s1, g15-s2, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s4, y5-s1, y6-s6->s4, y7-s5, y8-s4->s6, y9-s2->s1, y10-s1->s2, y11-s2, y12-s1, y13-s2, y14-s1, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s0, b2-s3, b3-s1->s0, b4-s3, b5-s3->s1, b6-s3, b7-s5->s3, b8-s3, b9-s5, b10-s1, b11-s5, b12-s1, b13-s5, b14-s1, b15-s3->s5, b16-s0, b17-s3, b18-s0, b19-s3, 
422: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s0->s1, g8-s2, g9-s0, g10-s7, g11-s0, g12-s1, g13-s0, g14-s1, g15-s2, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s4, y5-s1, y6-s6->s4, y7-s5, y8-s4->s6, y9-s2->s1, y10-s1->s2, y11-s2, y12-s1, y13-s2, y14-s1, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s0, b2-s3, b3-s1->s0, b4-s3, b5-s3->s1, b6-s3, b7-s5->s3, b8-s3, b9-s5, b10-s1, b11-s5, b12-s1, b13-s5, b14-s1, b15-s3->s5, b16-s0, b17-s3, b18-s0, b19-s3, 
423: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s0->s1, g8-s2, g9-s0, g10-s7->s2, g11-s0, g12-s1->s2, g13-s0, g14-s1, g15-s2, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s4, y5-s1, y6-s6->s4, y7-s5, y8-s4->s6, y9-s2->s1, y10-s2, y11-s2, y12-s1, y13-s2, y14-s1, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s0, b2-s3, b3-s1->s0, b4-s3, b5-s3->s1, b6-s3, b7-s5->s3, b8-s3, b9-s5, b10-s1, b11-s5, b12-s1, b13-s5, b14-s1, b15-s3->s5, b16-s0, b17-s3, b18-s0, b19-s3, 
424: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s0->s1, g8-s2, g9-s0, g10-s7->s2, g11-s0, g12-s1->s2, g13-s0, g14-s1, g15-s2->s1, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s4->s2, y5-s1, y6-s6->s4, y7-s5, y8-s4->s6, y9-s1, y10-s2->s4, y11-s2, y12-s1, y13-s2, y14-s1, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s0, b2-s3, b3-s0, b4-s3, b5-s3->s1, b6-s3, b7-s5->s3, b8-s3, b9-s5, b10-s1->s3, b11-s5, b12-s1, b13-s5, b14-s1, b15-s3->s5, b16-s0, b17-s3, b18-s0, b19-s3, 
425: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s1, g8-s2, g9-s0, g10-s7->s2, g11-s0, g12-s1->s2, g13-s0, g14-s1, g15-s2->s1, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s4->s2, y5-s1, y6-s6->s4, y7-s5, y8-s4->s6, y9-s1, y10-s2->s4, y11-s2, y12-s1, y13-s2, y14-s1, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s0, b2-s3, b3-s0, b4-s3, b5-s3->s1, b6-s3, b7-s5->s3, b8-s3, b9-s5, b10-s1->s3, b11-s5, b12-s1, b13-s5, b14-s1, b15-s3->s5, b16-s0, b17-s3, b18-s0, b19-s3, 
426: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s1, g8-s2, g9-s0, g10-s7->s2, g11-s0, g12-s1->s2, g13-s0, g14-s1, g15-s2->s1, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s4->s2, y5-s1, y6-s6->s4, y7-s5, y8-s4->s6, y9-s1, y10-s2->s4, y11-s2, y12-s1, y13-s2, y14-s1, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s0, b2-s3, b3-s0, b4-s3, b5-s3->s1, b6-s3, b7-s5->s3, b8-s3, b9-s5, b10-s1->s3, b11-s5, b12-s1, b13-s5, b14-s1, b15-s3->s5, b16-s0, b17-s3, b18-s0, b19-s3, 
427: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s1, g8-s2, g9-s0, g10-s7->s2, g11-s0, g12-s1->s2, g13-s0, g14-s1, g15-s2->s1, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s4->s2, y5-s1, y6-s6->s4, y7-s5->s1, y8-s4->s6, y9-s1->s5, y10-s2->s4, y11-s2, y12-s1, y13-s2, y14-s1, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s0, b2-s3, b3-s0, b4-s3, b5-s1, b6-s3, b7-s5->s3, b8-s3, b9-s5, b10-s1->s3, b11-s5, b12-s1, b13-s5, b14-s1, b15-s5, b16-s0, b17-s3->s5, b18-s0, b19-s3, 
428: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s1, g8-s2, g9-s0, g10-s2, g11-s0, g12-s1->s2, g13-s0, g14-s1, g15-s2->s1, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s2, y5-s1, y6-s6->s4, y7-s5->s1, y8-s6, y9-s1->s5, y10-s4, y11-s2, y12-s1, y13-s2, y14-s1, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s0, b2-s3, b3-s0, b4-s3, b5-s1, b6-s3, b7-s3, b8-s3, b9-s5->s3, b10-s1->s3, b11-s5, b12-s1, b13-s5, b14-s1, b15-s5, b16-s0, b17-s3->s5, b18-s0, b19-s3, 
429: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s1, g8-s2, g9-s0, g10-s2, g11-s0, g12-s1->s2, g13-s0, g14-s1, g15-s2->s1, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s2, y5-s1, y6-s6->s4, y7-s1, y8-s6, y9-s5, y10-s4, y11-s2, y12-s1, y13-s2, y14-s1, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s0, b2-s3, b3-s0, b4-s3, b5-s1, b6-s3, b7-s3, b8-s3, b9-s5->s3, b10-s1->s3, b11-s5, b12-s1, b13-s5, b14-s1, b15-s5, b16-s0, b17-s3->s5, b18-s0, b19-s3, 
430: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s1, g8-s2, g9-s0, g10-s2, g11-s0, g12-s1->s2, g13-s0, g14-s1, g15-s2->s1, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s2, y5-s1, y6-s6->s4, y7-s1, y8-s6, y9-s5, y10-s4, y11-s2, y12-s1, y13-s2, y14-s1, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s0, b2-s3, b3-s0, b4-s3, b5-s1, b6-s3, b7-s3, b8-s3, b9-s5->s3, b10-s3, b11-s5, b12-s1->s3, b13-s5, b14-s1, b15-s5, b16-s0->s1, b17-s3->s5, b18-s0, b19-s3, 
431: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s1, g8-s2, g9-s0, g10-s2, g11-s0, g12-s2, g13-s0, g14-s1, g15-s2->s1, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s2, y5-s1, y6-s4, y7-s1, y8-s6, y9-s5, y10-s4, y11-s2, y12-s1->s2, y13-s2, y14-s1, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s0, b2-s3, b3-s0, b4-s3, b5-s1, b6-s3, b7-s3->s1, b8-s3, b9-s5->s3, b10-s3, b11-s5, b12-s1->s3, b13-s5, b14-s1, b15-s5, b16-s0->s1, b17-s3->s5, b18-s0, b19-s3, 
432: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s1, g8-s2, g9-s0, g10-s2, g11-s0, g12-s2->s7, g13-s0, g14-s1, g15-s1, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s2, y5-s1, y6-s4, y7-s1, y8-s6->s4, y9-s5, y10-s4, y11-s2->s1, y12-s1->s2, y13-s2, y14-s1, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s0, b2-s3, b3-s0, b4-s3, b5-s1->s0, b6-s3, b7-s3->s1, b8-s3, b9-s5->s3, b10-s3, b11-s5, b12-s1->s3, b13-s5, b14-s1, b15-s5, b16-s0->s1, b17-s3->s5, b18-s0, b19-s3, 
433: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s1, g8-s2, g9-s0, g10-s2, g11-s0, g12-s2->s7, g13-s0, g14-s1, g15-s1, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s2, y5-s1, y6-s4, y7-s1, y8-s6->s4, y9-s5, y10-s4->s6, y11-s2->s1, y12-s1->s2, y13-s2, y14-s1, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s0, b2-s3, b3-s0, b4-s3, b5-s1->s0, b6-s3, b7-s3->s1, b8-s3, b9-s5->s3, b10-s3, b11-s5, b12-s1->s3, b13-s5, b14-s1, b15-s5, b16-s1, b17-s3->s5, b18-s0, b19-s3, 
434: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s1, g8-s2, g9-s0->s1, g10-s2, g11-s0, g12-s2->s7, g13-s0, g14-s1, g15-s1, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s2, y5-s1, y6-s4, y7-s1, y8-s6->s4, y9-s5, y10-s4->s6, y11-s2->s1, y12-s1->s2, y13-s2, y14-s1, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s0, b2-s3, b3-s0, b4-s3, b5-s1->s0, b6-s3, b7-s3->s1, b8-s3, b9-s5->s3, b10-s3, b11-s5, b12-s1->s3, b13-s5, b14-s1, b15-s5, b16-s1, b17-s3->s5, b18-s0, b19-s3, 
435: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s1, g8-s2, g9-s0->s1, g10-s2, g11-s0, g12-s2->s7, g13-s0, g14-s1, g15-s1->s0, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s2, y5-s1, y6-s4, y7-s1, y8-s6->s4, y9-s5->s1, y10-s4->s6, y11-s2->s1, y12-s1->s2, y13-s2, y14-s1, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s0, b2-s3, b3-s0, b4-s3, b5-s0, b6-s3, b7-s3->s1, b8-s3, b9-s5->s3, b10-s3, b11-s5, b12-s1->s3, b13-s5, b14-s1, b15-s5, b16-s1, b17-s3->s5, b18-s0, b19-s3, 
436: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s1, g8-s2, g9-s0->s1, g10-s2, g11-s0, g12-s2->s7, g13-s0, g14-s1, g15-s1->s0, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s2, y5-s1, y6-s4->s2, y7-s1, y8-s6->s4, y9-s5->s1, y10-s4->s6, y11-s2->s1, y12-s1->s2, y13-s2, y14-s1, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s0, b2-s3, b3-s0, b4-s3, b5-s0, b6-s3, b7-s3->s1, b8-s3, b9-s5->s3, b10-s3, b11-s5, b12-s3, b13-s5, b14-s1->s3, b15-s5, b16-s1, b17-s5, b18-s0, b19-s3->s5, 
437: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s1, g8-s2, g9-s1, g10-s2, g11-s0, g12-s7, g13-s0, g14-s1, g15-s1->s0, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s2, y5-s1, y6-s4->s2, y7-s1, y8-s6->s4, y9-s1, y10-s4->s6, y11-s2->s1, y12-s1->s2, y13-s2, y14-s1, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s0, b2-s3, b3-s0, b4-s3, b5-s0, b6-s3, b7-s1, b8-s3, b9-s3, b10-s3, b11-s5->s3, b12-s3, b13-s5, b14-s1->s3, b15-s5, b16-s1, b17-s5, b18-s0, b19-s3->s5, 
438: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s1, g8-s2, g9-s1, g10-s2, g11-s0, g12-s7, g13-s0, g14-s1, g15-s0, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s2, y5-s1, y6-s4->s2, y7-s1, y8-s6->s4, y9-s1, y10-s4->s6, y11-s2->s1, y12-s1->s2, y13-s2, y14-s1, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s0, b2-s3, b3-s0, b4-s3, b5-s0, b6-s3, b7-s1, b8-s3, b9-s3, b10-s3, b11-s5->s3, b12-s3, b13-s5, b14-s1->s3, b15-s5, b16-s1, b17-s5, b18-s0, b19-s3->s5, 
439: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s1, g8-s2, g9-s1, g10-s2, g11-s0, g12-s7->s2, g13-s0, g14-s1, g15-s0, g16-s1, g17-s2, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s2, y5-s1, y6-s4->s2, y7-s1, y8-s6->s4, y9-s1, y10-s4->s6, y11-s2->s1, y12-s2, y13-s2, y14-s1->s2, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s0, b2-s3, b3-s0, b4-s3, b5-s0, b6-s3, b7-s1, b8-s3, b9-s3, b10-s3, b11-s5->s3, b12-s3, b13-s5, b14-s1->s3, b15-s5, b16-s1, b17-s5, b18-s0, b19-s3->s5, 
440: g0-s2, g1-s1, g2-s2, g3-s1, g4-s2, g5-s1, g6-s2, g7-s1, g8-s2, g9-s1, g10-s2, g11-s0, g12-s7->s2, g13-s0, g14-s1, g15-s0, g16-s1, g17-s2->s1, g18-s1, g19-s2, y0-s2, y1-s1, y2-s2, y3-s1, y4-s2, y5-s1, y6-s2, y7-s1, y8-s6->s4, y9-s1, y10-s4->s6, y11-s1, y12-s2, y13-s2, y14-s1->s2, y15-s2, y16-s1, y17-s2, y18-s1, y19-s2, b0-s3, b1-s0, b2-s3, b3-s0, b4-s3, b5-s0, b6-s3, b7-s1->s0, b8-s3, b9-s3->s1, b10-s3, b11-s5->s3, b12-s3, b13-s5, b14-s1->s3, b15-s5, b16-s1, b17-s5, b18-s0, b19-s3->s5, 
